PartNo,Status,ClassAndTier,Department,BargainingUnit,Classification,Gender,BenefitService,EligibilityService,DateOfBirth,Salary,EEContribBal,EEContribRate,PartTimePercentage,SecondGender,SecondDateOfBirth,AnnOpt,SSAOpt,YrsCertain,DropPct,CAPopupPct,AnnPmtPct,SSAAmount,SSADropYear,OriginalBenefit,CurrentBenefit,SimpleDBOpt,StatusDate,Weight
452,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,M,10.95,16.14,06/26/1974,92800.32,0,0,1,,,,,,,,,,,,,,,1
453,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,F,16.3,16.368,10/19/1967,64761.36,0,0,1,,,,,,,,,,,,,,,1
454,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,13.54,21.2,12/01/1961,66362.04,0,0,1,,,,,,,,,,,,,,,1
455,Active,Misc.Tier1.PEPRA,,EL39.3,Misc,M,1.25,1.276,04/04/1975,51995.88,0,0,1,,,,,,,,,,,,,,,1
456,Active,Police.Classic.30@50,,VPOA.1,Police,M,23.58,23.7,12/18/1968,98946.12,0,0,1,,,,,,,,,,,,,,,1
457,Active,Fire.PEPRA.2@57,,VFA.2,Fire,M,1.66,3.339,10/12/1986,96742.56,0,0,1,,,,,,,,,,,,,,,1
458,Active,Police.Classic.30@50,,VPOA.1,Police,M,23.83,22.127,09/12/1968,98946.12,0,0,1,,,,,,,,,,,,,,,1
459,Active,Misc.Tier1.Classic.2@55,,VMO.1,Misc,M,11.29,20.345,06/23/1964,120070.56,0,0,1,,,,,,,,,,,,,,,1
460,Active,Misc.Tier1.PEPRA,,VCEA.2,Misc,M,0.04,0,02/14/1987,46346.76,0,0,1,,,,,,,,,,,,,,,1
461,Active,Misc.Tier1.Classic.2@55,,VCEA.2,Misc,F,2.62,18.636,12/28/1971,71533.08,0,0,1,,,,,,,,,,,,,,,1
462,Active,Police.Classic.30@50,,CC.1,Not Eligible,M,10.11,0,08/02/1952,9948,0,0,1,,,,,,,,,,,,,,,0
463,Active,Misc.Tier1.PEPRA,,EL39.3,Misc,M,1.08,1.092,03/04/1969,48330.48,0,0,1,,,,,,,,,,,,,,,1
464,Active,Misc.Tier1.PEPRA,,EL39.3,Misc,M,3.12,3.15,09/03/1991,73479.36,0,0,1,,,,,,,,,,,,,,,1
465,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,F,9.9,9.814,05/08/1984,70510.8,0,0,1,,,,,,,,,,,,,,,1
466,Active,Fire.Classic.30@50,,VFA.2,Fire,M,23.87,14.932,08/03/1966,104526.12,0,0,1,,,,,,,,,,,,,,,1
467,Active,Fire.Classic.30@50,,VFA.2,Fire,M,14.58,22.531,07/23/1971,99548.4,0,0,1,,,,,,,,,,,,,,,1
468,Active,Misc.Tier1.Classic.2@55,,VMO.2,Misc,F,27.63,27.8,04/04/1959,118081.56,0,0,1,,,,,,,,,,,,,,,1
469,Active,Police.Classic.30@50,,VPOA.1,Police,M,9.58,12,12/25/1977,98946.12,0,0,1,,,,,,,,,,,,,,,1
470,Active,Fire.Classic.30@50,,VFA.2,Fire,M,27.62,27.743,12/27/1965,125251.92,0,0,1,,,,,,,,,,,,,,,1
471,Active,Misc.Tier1.Classic.2@55,,AMG.1,Misc,F,11.49,11.595,04/09/1961,68073.12,0,0,1,,,,,,,,,,,,,,,1
472,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,12.16,12.2,10/30/1982,66362.04,0,0,1,,,,,,,,,,,,,,,1
473,Active,Police.Classic.2@50,,VPOA.2,Police,F,0.12,4.191,07/12/1985,71199.84,0,0,1,,,,,,,,,,,,,,,1
474,Active,Police.PEPRA.2@57,,VPOA.2,Police,F,0.96,1,05/11/1990,85511.52,0,0,1,,,,,,,,,,,,,,,1
475,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,11.14,11.175,10/31/1970,93398.4,0,0,1,,,,,,,,,,,,,,,1
476,Active,Police.Classic.30@50,,VPOA.1,Police,M,10.49,10.595,05/13/1978,98946.12,0,0,1,,,,,,,,,,,,,,,1
477,Active,Misc.Tier1.Classic.2@55,,VMO.1,Misc,M,11.29,11.35,10/04/1976,133032,0,0,1,,,,,,,,,,,,,,,1
478,Active,Fire.Classic.30@50,,VFA.2,Fire,M,24.96,25.296,05/05/1962,104526.12,0,0,1,,,,,,,,,,,,,,,1
479,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,1.25,8.7,10/10/1975,69978.48,0,0,1,,,,,,,,,,,,,,,1
480,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,F,9.21,9.259,08/06/1964,68073.12,0,0,1,,,,,,,,,,,,,,,1
481,Active,Misc.Tier1.Classic.2@55,,VPOA.1,Misc,F,14,14,06/15/1981,83784.12,0,0,1,,,,,,,,,,,,,,,1
482,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,15.62,29.28,08/01/1953,80823.96,0,0,1,,,,,,,,,,,,,,,1
483,Active,Misc.Tier1.Classic.2@55,,VCEA.2,Misc,M,1,8.538,02/22/1988,55468.44,0,0,1,,,,,,,,,,,,,,,1
484,Active,Misc.Tier1.PEPRA,,VCEA.2,Misc,M,0.91,7.221,12/21/1978,58242.24,0,0,1,,,,,,,,,,,,,,,1
485,Active,Misc.Tier1.PEPRA,,EL39.3,Misc,F,1.29,1.322,08/15/1974,62005.32,0,0,1,,,,,,,,,,,,,,,1
486,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,M,10.87,11,08/03/1958,80346.24,0,0,1,,,,,,,,,,,,,,,1
487,Active,Misc.Tier1.Classic.2@55,,VPOA.1,Misc,F,10.95,11,09/20/1983,76124.04,0,0,1,,,,,,,,,,,,,,,1
488,Active,Police.PEPRA.2@57,,VPOA.2,Police,M,0.33,4.083,09/06/1993,85511.52,0,0,1,,,,,,,,,,,,,,,1
489,Active,Fire.Classic.2@50,,VFA.2,Fire,M,4.51,4.609,11/07/1969,106659.24,0,0,1,,,,,,,,,,,,,,,1
490,Active,Police.PEPRA.2@57,,VPOA.2,Police,F,0.33,0.651,04/21/1988,71199.84,0,0,1,,,,,,,,,,,,,,,1
491,Active,Misc.Tier1.Classic.2@55,,VCEA.2,Misc,F,5.66,5.763,02/12/1956,61153.92,0,0,1,,,,,,,,,,,,,,,1
492,Active,Misc.Tier1.PEPRA,,EL39.3,Misc,M,0.37,0.35,05/28/1994,46029.12,0,0,1,,,,,,,,,,,,,,,1
493,Active,Fire.Classic.2@50,,VFA.2,Fire,M,4.51,4.609,05/07/1984,111992.16,0,0,1,,,,,,,,,,,,,,,1
