PartNo,Status,ClassAndTier,Department,BargainingUnit,Classification,Gender,BenefitService,EligibilityService,DateOfBirth,Salary,EEContribBal,EEContribRate,PartTimePercentage,SecondGender,SecondDateOfBirth,AnnOpt,SSAOpt,YrsCertain,DropPct,CAPopupPct,AnnPmtPct,SSAAmount,SSADropYear,OriginalBenefit,CurrentBenefit,SimpleDBOpt,StatusDate,Weight
887,Retired,Police.Classic.30@50,,VPOA.2,Police,M,,,12/20/1962,,,,,F,12/10/1961,ORM2,,,,1,,,,,,,,1
888,Retired,Misc.Tier1.PEPRA,,DH.2,Misc,M,,,02/09/1958,,,,,F,05/01/1957,ORM2,,,,1,,,,,,,,1
889,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,06/05/1951,,,,,F,02/17/1953,ORM2,,,,1,,,,,,,,1
890,Retired,Misc.Tier1.PEPRA,,VPOA.2,Misc,F,,,09/11/1955,,,,,,,ORM1,,,,1,,,,,,,,1
891,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,03/10/1957,,,,,,,ORM1,,,,1,,,,,,,,1
892,ServiceDisabled,Police.Classic.30@50,,VPMA.1,Police,M,,,12/14/1952,,,,,,,ORM2,,,,1,,,,,,,,1
893,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,M,,,02/07/1948,,,,,,,ORM2,,,,1,,,,,,,,1
894,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,M,,,04/27/1962,,,,,,,ORM2,,,,1,,,,,,,,1
895,ServiceDisabled,Police.Classic.30@50,,VPMA.1,Police,M,,,08/17/1952,,,,,,,ORM2,,,,1,,,,,,,,1
896,ServiceDisabled,Fire.Classic.30@50,,VFA.1,Fire,M,,,09/24/1941,,,,,,,ORM1,,,,1,,,,,,,,1
897,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,M,,,01/12/1949,,,,,,,ORM1,,,,1,,,,,,,,1
898,ServiceDisabled,Fire.Classic.30@50,,VFA.1,Fire,M,,,01/11/1933,,,,,,,ORM2,,,,1,,,,,,,,1
899,ServiceDisabled,Fire.Classic.30@50,,FMG.1,Fire,M,,,07/24/1937,,,,,,,ORM2,,,,1,,,,,,,,1
900,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,M,,,03/09/1948,,,,,,,ORM2,,,,1,,,,,,,,1
901,ServiceDisabled,Police.Classic.30@50,,VPOA.2,Police,M,,,05/11/1971,,,,,,,ORM2,,,,1,,,,,,,,1
902,ServiceDisabled,Police.Classic.30@50,,VPMA.2,Police,M,,,06/27/1960,,,,,,,ORM2,,,,1,,,,,,,,1
903,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,M,,,11/19/1943,,,,,,,ORM2,,,,1,,,,,,,,1
904,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,M,,,10/19/1963,,,,,,,ORM2,,,,1,,,,,,,,1
905,ServiceDisabled,Police.Classic.30@50,,VPOA.2,Police,M,,,10/16/1962,,,,,,,ORM2,,,,1,,,,,,,,1
906,ServiceDisabled,Fire.Classic.30@50,,FMG.1,Fire,M,,,12/03/1947,,,,,,,ORM2,,,,1,,,,,,,,1
907,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,M,,,01/08/1952,,,,,,,ORM2,,,,1,,,,,,,,1
908,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,M,,,12/12/1937,,,,,,,ORM1,,,,1,,,,,,,,1
909,ServiceDisabled,Police.Classic.30@50,,VPOA.2,Police,M,,,02/18/1962,,,,,,,ORM2,,,,1,,,,,,,,1
910,ServiceDisabled,Fire.Classic.30@50,,VFA.1,Fire,M,,,01/27/1957,,,,,,,ORM2,,,,1,,,,,,,,1
911,ServiceDisabled,Fire.Classic.30@50,,VFA.1,Fire,M,,,12/25/1954,,,,,,,ORM1,,,,1,,,,,,,,1
912,ServiceDisabled,Police.Classic.30@50,,VPMA.1,Police,M,,,01/01/1960,,,,,,,ORM2,,,,1,,,,,,,,1
913,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,M,,,02/16/1962,,,,,F,05/10/1974,ORM2,,,,1,,,,,,,,1
914,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,M,,,01/30/1961,,,,,,,ORM1,,,,1,,,,,,,,1
915,ServiceDisabled,Police.Classic.30@50,,VPOA.4,Police,M,,,10/03/1959,,,,,,,ORM2,,0,,1,,,,,,,,0.5
916,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,M,,,02/06/1947,,,,,F,02/18/1961,ORM2,,,,1,,,,,,,,1
917,ServiceDisabled,Fire.Classic.30@50,,VFA.1,Fire,M,,,04/07/1954,,,,,F,03/07/1955,ORM2,,,,1,,,,,,,,1
918,ServiceDisabled,Fire.Classic.30@50,,VFA.1,Fire,F,,,09/17/1951,,,,,,,ORM1,,,,1,,,,,,,,1
919,ServiceDisabled,Police.Classic.30@50,,VPOA.4,Police,F,,,12/10/1961,,,,,,,ORM2,,2,,1,,,,,,,,0.5
920,ServiceDisabled,Fire.Classic.30@50,,VFA.1,Fire,M,,,06/16/1955,,,,,F,11/11/1956,ORM2,,,,1,,,,,,,,1
921,ServiceDisabled,Police.Classic.30@50,,VPOA.2,Police,M,,,11/18/1974,,,,,F,10/17/1974,ORM2,,,,1,,,,,,,,1
922,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,M,,,06/30/1955,,,,,,,ORM1,,,,1,,,,,,,,1
923,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,F,,,05/25/1957,,,,,,,ORM1,,,,1,,,,,,,,1
924,ServiceDisabled,Fire.Classic.30@50,,VFA.1,Fire,F,,,11/12/1963,,,,,M,09/12/1956,ORM2,,,,1,,,,,,,,1
925,ServiceDisabled,Fire.Classic.30@50,,VFA.1,Fire,M,,,08/03/1942,,,,,F,02/09/1947,ORM2,,,,1,,,,,,,,1
926,ServiceDisabled,Misc.Tier1.PEPRA,,AMG.1,Misc,M,,,02/20/1935,,,,,,,ORM1,,,,1,,,,,,,,1
927,ServiceDisabled,Fire.Classic.30@50,,DH.1,Fire,M,,,12/20/1942,,,,,F,01/03/1947,ORM2,,,,1,,,,,,,,1
928,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,M,,,09/12/1942,,,,,F,10/25/1945,ORM2,,,,1,,,,,,,,1
929,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,M,,,02/14/1946,,,,,F,07/15/1950,ORM2,,,,1,,,,,,,,1
930,ServiceDisabled,Police.Classic.30@50,,VPOA.2,Police,M,,,07/17/1956,,,,,F,03/07/1957,ORM2,,,,1,,,,,,,,1
931,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,F,,,12/07/1959,,,,,,,ORM1,,,,1,,,,,,,,1
932,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,M,,,07/08/1975,,,,,F,09/13/1975,ORM2,,,,1,,,,,,,,1
933,ServiceDisabled,Police.Classic.30@50,,VPOA.4,Police,M,,,02/06/1966,,,,,,,ORM2,,7,,1,,,,,,,,0.5
934,ServiceDisabled,Police.Classic.30@50,,VPMA.1,Police,F,,,02/08/1975,,,,,,,ORM2,,,,1,,,,,,,,1
935,ServiceDisabled,Police.Classic.30@50,,VPMA.1,Police,M,,,12/26/1947,,,,,F,08/26/1950,ORM2,,,,1,,,,,,,,1
936,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,M,,,04/18/1972,,,,,F,07/06/1982,ORM2,,,,1,,,,,,,,1
937,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,M,,,08/03/1957,,,,,F,11/07/1966,ORM2,,,,1,,,,,,,,1
938,ServiceDisabled,Fire.Classic.30@50,,VFA.2,Fire,M,,,03/12/1961,,,,,F,11/11/1963,ORM2,,,,1,,,,,,,,1
939,ServiceDisabled,Police.Classic.30@50,,VPOA.2,Police,M,,,04/14/1967,,,,,F,11/12/1971,ORM2,,,,1,,,,,,,,1
940,ServiceDisabled,Police.Classic.30@50,,VPOA.1,Police,M,,,05/27/1942,,,,,F,09/17/1941,ORM2,,,,1,,,,,,,,1
941,ServiceDisabled,Police.Classic.30@50,,VPOA.2,Police,M,,,11/26/1960,,,,,F,03/27/1962,ORM2,,,,1,,,,,,,,1
942,Survivor,Fire.Classic.30@50,,VFA.1,Fire,F,,,04/22/1955,,,,,,,ORM1,,,,1,,,,,,,,1
943,Survivor,Misc.Tier1.PEPRA,,EL39.1,Misc,F,,,11/23/1952,,,,,,,ORM1,,,,1,,,,,,,,1
944,Survivor,Misc.Tier1.PEPRA,,EL39.1,Misc,F,,,02/03/1964,,,,,,,ORM2,,,,1,,,,,,,,1
945,Survivor,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,11/08/1941,,,,,,,ORM1,,,,1,,,,,,,,1
946,Survivor,Misc.Tier1.PEPRA,,DH.1,Misc,F,,,12/29/1942,,,,,,,ORM1,,,,1,,,,,,,,1
947,Survivor,Misc.Tier1.PEPRA,,EL39.2,Misc,F,,,10/15/1958,,,,,,,ORM2,,,,1,,,,,,,,1
948,Survivor,Police.Classic.30@50,,VPOA.1,Police,F,,,08/21/1941,,,,,,,ORM1,,,,1,,,,,,,,1
